,0
36,"""John Wick: Chapter 4"" is a thrilling and satisfying fourth installment and continuation of the popular neo-noir action franchise ""John Wick."" The film delivers on its promises of high-octane action, stunning visuals, and compelling characters, starring Keanu Reeves as the titular assassin seeking vengeance against those who wronged him. The film follows John Wick (Keanu Reeves) as he seeks revenge against the High Table, a mysterious organization that rules over the world of assassins. Along the way, John Wick encounters old friends and foes, such as Caine (Donnie Yen), a blind former colleague forced to hunt him down; Shimazu (Hiroyuki Sanada), a hotel manager who offers him sanctuary; and Chidi (Marko Zaror), a ruthless enforcer who works for the Marquis (Bill Skarsgård), a senior member of the High Table. ""John Wick: Chapter 4"" is directed by Chad Stahelski, who also helmed the previous three films, and written by Shay Hatten, Michael Finch, and Derek Kolstad.The film is directed by Chad Stahelski, who has helmed all previous John Wick films, and written by Shay Hatten and Michael Finch. The script is tight and well-paced, balancing exposition with action and humor. The dialogue is witty and memorable, with some nods to previous films and pop culture references.""The film delivers on its promise of non-stop action and thrilling stunts that showcase Reeves' physical prowess and dedication. The fight scenes are well choreographed with precision and creativity, and Reeves performs most of his own stunts featuring a variety of weapons and styles such as nunchucks, Judo, and jujitsu. The fight scenes are inventive and brutal, ranging from hand-to-hand combat to gunfights to car chases, among others. The cinematography by Dan Laustsen captures the gritty and stylish aesthetic of the franchise, while the music by Tyler Bates and Joel J. Richard adds to the adrenaline rush and enhances the mood and tension of each scene.""""The film boasts a stellar cast, led by Reeves in his role as John Wick, who embodies his character with charisma and intensity, conveying emotions through his eyes and body language. Reeves' credibility as an action star is further established by his own stunt performances. Yen is a welcome addition to the franchise as Caine, with whom John shares a complex relationship. Yen showcases both his martial arts skills and acting chops in several scenes with Reeves. Skarsgård is menacing as the Marquis de Gramont, one of John's main antagonists, bringing sophistication and cruelty to his role. Additionally, Sanada, Anderson, Sawayama, Adkins, McShane, Fishburne, Reddick, Brown, Georgiou, Zaror, and Tena all deliver solid performances in their respective roles.""The film's only flaw is that it may be too violent for some viewers . The film does not shy away from showing bloodshed and gore , which may be disturbing or off-putting for some . The film also has some scenes that may be considered unrealistic or implausible , such as John surviving multiple injuries or escaping certain situations . However , these are minor issues that do not detract from the overall enjoyment of the film .Overall, John Wick: Chapter 4 (2023) provides an entertaining and thrilling experience for fans of action movies and admirers of Keanu Reeves' charisma. The film offers plenty of adrenaline-pumping action sequences that showcase Reeves' prowess as an action star. John Wick: Chapter 4 is a must-watch for fans of the franchise and action lovers alike . It is one of the best films of 2023 , With its nonstop action and outstanding performances by the cast, John Wick: Chapter 4 is highly recommended and definitely worth watching."""
37,"Ok, so I got back from seeing this entry yesterday night. I'm writing this review in the early hours after midnight as the film went on for a good whopping 2 hours & 39 minutes!! But we'll get to that in a bit...! Anyway, I was looking forward to this film since John Wick 3's release back in 2019 & this film has had a bit of a troubled history of getting pushed back until it finally got its March 2023 release. I must admit I was a bit skeptical, but, was looking forward to this as the John Wick films are ace, but this film was a bitter disappointment...!The film sees John Wick, who from the events of the last film, has a price on his head which is increasing more than ever. The lethal unstoppable force of nature assassin now must fight against the High Table Global as he seeks out & fights the most deadly assassins players of the underworld from Paris to New York to Berlin to Japan. Will John Wick finally meet his match!?Whoa...! Where do I start!? I found the film for starters to be too long!! At a whopping 2 hours & 39 minutes this film is way, way, way too long! The pacing... whoa! Don't get me started! I was willing to be tolerant & forgive the pacing, but when it got to the final leg it took the absolute puss & started to test my nerves! The story is so weak I had to look this film up in order to get what the plot was, again, another sign that the film was going to be bad, the first was the runtime, which I knew was going to be bad from the word go!The film took a while to get going which was a pain, but it got there I guess! The fights were good, as with the John Wick films typically are, not to mention funny & brutal! But all things considered, it got repetitive fast & annoying especially near the end as I just mentioned! The story scenes were alright as with the villains & bad guys though again, it got repetitive & irritating.The realism was stretch beyond its limits here in this film. John Wick fell from a great height on a metal pipe which looked to have (& lets be honest here) would've snapped his back like a tooth pick! John got hit by a car 5 times yet never suffers any bad injuries or dies! Yet a few bullet wounds finally kill him at the end (another downer of this film which I'll touch up on in a second!), the fight scenes in the night club where only a few people stood there shocked while about 95% just kept on dancing! Face palm! There were several other scenes which made you just think ""dafuq!?""The lead up to the end was annoying! Just when you thought John Wick was going to go to the Stand Off with the blind villain, there was more fight scenes! Don't get me wrong, these fights where good, but annoying & held the film up for a good 20 minutes before the finale which to say the least, was anti climatic! The scene on the 122 steps was irritating & made you just scoffs in frustration when John got kicked down those steps which for a couple of seconds in its self, dragged & felt & looked comical! It's like getting so far in a mission in Grand Theft Auto V then dying & reverting back to the latest checkpoint where you have to start all, over, again!! The same feelings of that (from experience) where felt for me in this film from that scene!Then of course, after John Wick killing 180 odd people (or more, I lost count obviously) he finally dies! What!? Like James Bond in that god awful Bond Film of 2021 No Time To Die!? Can't be!? What a poor show! Anyhow, to give you guys some perspective on how long this is in comparison to the rest of the films in the franchise! Without credits as they don't count!John Wick (2015) - 1 hour 30 minutes
John Wick 2 (2017) - 1 hour 50 minutes
John Wick 3 (2019) - 1 hours 57 minutes
John Wick 4 (2023) - 2 hours 39 minutesNotice how the films got long & long with each entry...!Overall, this ranks as they absolute worst of the franchise! I was willing to forgive the poor pacing & overly bloated runtime, but it got on my nerves too much to bare & when I saw that John Wick died!? Nope, that was it for me! The editing was poor with this film whoever edited this needs class in editing as this was bad beyond belief! The pacing also was poor combined with the bad editing! The fights were good, but too drawn out, long & annoyingly repetitive! The ending was both bad & anti climatic! How this film has 95% on RT is beyond me! But then what do I expect...! This ranks as the worst John Wick film in the franchise! With word of a female spin-off coming out (which will be bad), I've lost hope in this franchise! Let's hope John Wick 5 (if ever) redeems this kak entry!4/10 & that's generous considering!"
38,"Its also ridiculous,. Outrageous, ludicrous, and hilarious. They have uncut action scenes that last for minutes now. Easily the overall best action stunt movie for the art. Simple story and Wick indestructible. But so worth it. Fighting up an endless staircase against innumerable foe to the music of Justice. Bravo. The most imaginative chorography fight scenes I have ever seen. They push the limit, the intensity, the absolute insanity how can it not be the perfect action movie created. From fists to firearms this movie does not miss a beat. The best of the best of the best fight scenes. Take a bow."
39,"Think it's gone too far past how great JW1 was,just over hyped now. How is all this action happening with no police any where?A blind man shooting people but no one can shoot him ?? The main body guard for the main villain should of been killed plenty of times,JW puts bullets in people who you know are dead but leaves this guy in the middle of the road when he's the main threat??How is all the violance happening in the street and night club and no one batters an eye lid ??why did he leave the underground to go to the church that's obviously miles away to then end up in a shootout ? Surly he got of go there easier ? The overlay of the radio DJ at the end was annoying,how did she know where he wa aging to be constantly??"
40,"He should set an example for the rest of the action films, as John Wick's character is not an ordinary character. I hope a statue of him will be placed inside the Hollywood Museum. In terms of photography, it is very good and second to none, as well as accuracy and adjustment on some small things. They have great capabilities, and we do not forget the sound and other effectsWe waited for John Wick for a long time, just waiting for the showtime in Iraq cinema, to feel alive thanks to this elephant. Thank you Keanu Reeves and thank you to everyone who contributed to this wonderful work, we thank you from the bottom of our hearts."
41,"Unpopular Opinion - John Wick 4 is a below average movie.I loved all 3 John wick movies, but this one is more likely a conclusion of John wick series, So the fight scenes are boring and repetitive. Previous movies had different types of action and stunt choreographies. This one has long same fights , might be in different locations.As far Keanu goes, his close up shots or his face doesnt appear in the movie atleast for a half time. John wick past movies had few dialogues but it had an impact, 4 has same few dialogues but it was very plain and flat.Ending is Spoiler - John Wick Dies (or not) shown in a way that if there is a possibility of a sequel , there can be.May stunts shots and its accuracy is totally gone, we can clearly see that where the gun is aimed and it just went like a paper plane. Even with the so-called Coat Armour, some pistol shots were directly aimed at Head / Leg which was again repelled with the armor which is in the shoulder.The sad thing is this is the same with Balayya movies, but when it directed and taken in Hollywood people go crazy!An average movie 6/10."
42,"I loved the movie. It was a slightly longer movie. The action scenes and fight scenes were also very good. Keanu Reeves was perfect for this role. Yeeahh :) Some scenes in the movie bothered me. Especially the scenes of not bleeding and cops scenes, but still, I think it was very good. It was fun to watch in the cinema. Same scenese were funnish. It wasn't necessary. Also, the shooting scenes were very good. At the same time, the disco scene, the scene shot from above, looked very epic. I was blown away by these scenes. The ending of the movie was a bit simplistic so the ending was disappointing."
43,"Action and Keanue Reaves, are just a part of this stunning movie. There is a real artwork and hard work inside. I can't find anything negative about this movie. Every detail is great from bottom to top. Isometric scenes are so clever, insane and perfect. Maybe the scenario is not much deep but you don't even notice it as you watch it with your eyes wide open and breath deep. Music is amazing, sounds are awesome, action never stops until the end, scenes are very artistic , and the cast is very good. Probably I will see it again soon. Maybe I see it third time too. God I can't wait to see it again."
44,"Wtf, 10s from people? This was the worst one yet and Chapter three sucked ass!Over, over the top. People dancing while others are killed around them, cars keep driving on like a damn marry go round even though people are killed like flies. He survives being hit by a car at full speed not once but 5! Times in 5 minutes. Oh, and falls from a building (again) and totals the car but just walks off.And then they try to be funny with the dog biting nuts, him rolling down the stairs like it's an episode of Family guy.And to top it all off, the blind guy shoots better than John f'n Wick.Give me a f'n break.The only reason for not giving it a 1* is cus I like Keanu."
45,"Stunning installment. Beautifully crafted action sequences. The camerawork is impeccable. The fight choreography is fantastic. Keanu continues to own the John Wick role. Donnie Yen bringing all his skills to the table. This sequel just ramps up everything this franchise represents. A Clean, sleek, modern action flick. This film is a masterclass of peak cinema. The set pieces are on another level. Insert more praise. This is the one. Definitely recommend checking this out. The cinematography alone is worth a watch. Real locations. The set design. It's peak. It's everything you want out of a movie."
46,"The best Wick has have ever been. Chapter 4 is the perfect combination of action styles (martial arts, samuria, gunfoo, western - it's all there) with a great story, this is a hell of a time at the movies!With the price on his head ever increasing, legendary hit man John Wick takes his fight against the High Table global as he seeks out the most powerful players in the underworld, from New York to Paris to Japan to Berlin. Wick uncovers a path to defeating The High Table. But before he can earn his freedom, he must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
47,"I truly loved this movie. So much bad a** action. The music was just so awesome too. The fight scenes were just so cool, but I did think they lasted a little too long, and there is no way someone is walking away from what John Wick went through in all of it. It did run wayyyy too long on all of the fight scenes even tho they were great. I loved all the actors. This is just one of those great action movies that just hit the spot for me. The dog was a fun addition, and I assume that the person with the dog will show up again in future movies. I highly recommend this movie if action is your thing. Great fun."
48,"John Wick is not only a movie, it's a emotion that uncovers a path to defeating The High Table. But prior he can earn his freedom, Wick must face off against all the odds and a new enemy with powerful alliances across the globe. With base story the movie prceeds as John Wick, a professional hitman and assassin who has gained legendary reputation for his set of skills and is now hunted by the High Table.John returns to NYC and meets with Winston who himself seeking revenge against the High Table - suggests that John challenge de Gramont to a duel, as winning will free him of his obligation to the High Table. As per the Table's traditions, John can only request a duel on behalf of a crime family; seeing as he previously severed his ties to the Ruska Roma, John travels to their headquarters in Berlin to receive a new crest marking his membership to the syndicate."
49,"I like to watch people getting killed. Give me a movie where people are getting killed for 3 hours and I'll be happy. Then you've come to the right place in Hollywood. Hollywood is for the mob what was once the arena in ancient Rome, but the light version. The rabble, ignorant, feasting on big screens where violence is shown as necessary, tough and sexy. John Wick is like American porn: do you like chocolate? Then we'll drown you in it. The film has a total lack of drama, a total lack of imagination and, even worse, a total lack of humour. After the umpteenth headshot I look bored at my lukewarm popcorn. Kenau Reeves, the Internet's darling of good deeds, plays a depressed killer in a black suit who does nothing but kill people. A feast to watch for the poor in spirit. Hollywood: we've got millions and what do we do? Portraying human ugliness like it is sexy."
50,"I am so happy this movie turned out to be an actual blast firing on all cylinders. Keanu Reeves has never been this good in the series: the stunts and the gravitas he brings to both the character and the film are superb. He and the while team behind the film have been wise enough too to surround him by a whole pack of terrific players (The Blind Man, Mr. Nobody) in order to enhance the experience. There are some breathtaking tracking shots and the main action sequences (Osaka, Germany and Paris) are outstanding. Paris is definitely my favourite. Culminating with a daring, bold surprising ending 'John Wick Chapter 4' is everything you want in a movie now. Go and see it now!"
51,"My weekend ended with finishing the final installment of the John Wick series. I must say that I am glad that they decided to go out on a high note. I heard rumors about a 5th one and that would not have been a smart move.The movie has many weaknesses. I found the story to be quite convoluted when it should have been pretty straightforward. I wish they actually showed people sitting at the High Table. It felt tiring for him to chase a ghost-like group of people with no tangible existence. But at the same time, the elder in the beginning was killed off so easily. Does this organization even matter? I feel like that's a pretty serious offense but they treated him the same as last time with about the same amount of force. Furthermore, the whole ""tracker"" role seemed absolutely pointless. He was not needed in this movie and his ambiguous stand against John Wick confused me throughout. I also found Donnie Yen's role slightly underwhelming. I understand he is blind but sometimes it felt like he didn't have that good of a hearing to compensate how well he could fight. It also made zero sense for them to be put into a duel like that if he's blind... I am suspecting that they purposefully didn't kill each other for the best outcome. John would never miss a shot given his track record. Not to mention that this possibility of the duel just being introduced when I feel like the concept would have ended the series in two movies had it been known to the audience earlier. It also seemed that John was much more invulnerable in this movie. I remember that in the previous movies, he suffered wounds. However, I don't remember him bleeding much up to the final scene. I had to suspend my beliefs many time because whoever came up to him felt so incompetent. Maybe I need to get completely immersed in more to be able to fully experience genres like this.However, I think visually this film was possibly the peak of action films. It was beautifully shot (the aerial scene was absolute pinnacle of this) with vibrant colors of the underworld. Very impressive shots here and there with the changing lights. I also thought the choreography was improved. They had many creative sequences, especially in Paris with both the Arc de Triomphe and the stairs scene. The movie also showcased recurring motives like underground club fights and crotch-biting dogs. These were some nice moments for the fans and I appreciated being able to pick them out while not being predictable.While I would have normally not given a movie like this such a high rating, I wanted to commend the decision of killing off John here. Our hero does need to rest here because he's technically free of his obligations (but all it took was one duel!). I appreciated his character arc development over the four movies. He's finally reached a point in his life where he felt like his life was complete because I am sure he could have lived if he tried to as his wounds didn't seem that bad and he's survived worse. He chose to leave his legacy as ""loving husband"" while that was a small fragment of his life. He wanted to continue living to remember his wife but perhaps he wanted to join her side because he is tired of living with the weight of his memories and consequences.I understand the praise and where it comes from but perhaps I have preferences in genres. As I continue with my reviews, I wanted to be a person that can give equally high scores on the pinnacles of different genres. But I would probably never come back to this series and those movies have to have a ceiling in their ratings."
52,"It's like they thought about how to shoot every type of action scene in its absolute perfection and the most beautiful way, and just went ahead and did it. Almost three hour-long action spectacle that feels non-stop but they do take enough time in between to stop and breathe and those are some genuine breaths using the heart. Even though this and first is my favourite in the franchise, they did stretch the logic to the maximum in this. The way the action works and the world works in this movie felt like it used video game logic, the health bar fills up if you stay still and the NPCs are only scared for a second and go back to what they do if you don't bother them. Nonetheless, this is a theatre experience like none other."
53,"Having watched all the prequels to this high octane action film .I was excited for the sequel to be released in the theatres shortly ,having gotten the opportunity to watch an early screening of the film before its theatrical release I was hyped as I had read somewhere that this time the bogeyman takes on the high table itself . And believe me I was not disappointed though a bit slow paced at the beginning the moment John Wick start on a killing spree the action sequences, gunfights are so good and satisfying that it kept me to the edge of the seat and willing to cheer him for every enemy he takes down. Donnie yen, Scott Adkins, Hiroyuki Sanada were icing on the cake."
54,"Sitting through the nearly 3 hours of this opus, I can't say that I didn't get my money's worth. But the ride was so bombastic, dark and mumbly that at a certain point it was like being stuck on a roller coaster ride that I've gone through 10 times and gradually sunk deeper and deeper into my chair.What is this movie about? Long were the days of the original John Wick, where it felt nicely paced. A short film extended into a feature but still retained an independent film vibe. Those days are gone. When the original Wick came out, they kept it simple...man seeks revenge on some punks who killed his dog given to him from dead wife. That plot alone is laughably simple. Yet it worked. Perhaps it was the zeitgeist at the time. But this series falls into the VERY same trap they all do. Bigger everything. And that wasn't the case. The Table is a mysterious group that had slick lingo with caricatures of other movies that made you feel something familiar. The call center with its tattoo'd Betties seemed so out of a Jean Pierre Jeunet film like ""City Of Lost Children"" It was unique in the sense that it embraced its steam punk comic book feel. Then it imploded into ridiculous feats of inhuman strength. And a total lack of logic. Police apparently don't exist in John Wick Paris. Ugh.Also, the stunts are great but after (I would calculate) an hour of the same aerobatics, leg locks, tosses and gun shot to head, I grew tired. Made me want to scream to move on. Yes, it has a visceral release to a general audience (I heard a few in my theater clap with approval. But also consider there was one mentally challenged one in a wheel-chair, the other was an elderly lady who was talking through the movie). The original Wick made you really feel the pain of its villains. And made it satisfying. Here, when he goes room to room sweeping with a fire launching shotgun, I wanted to REALLY cheer. It felt flat. Well done, but something was missing. That's what this entire movie felt like. Something missing. Keanu is obviously an expert gun handler now and does hand to hand combat well, but man was it getting old fast.Bill Skarsgard, as the villain, seems to be tapping into Rami Malek from ""No Time To Die"" He's a meglamaniac whose ties to this under ground assassin league is anchored to funding it. Did they ever explain why this society even exists? Probably not. I was bored. Also, Ian MacShane's Manager role is exhaustively pedestrian.. I mean, tiresome tropes come out of his mouth as if it were the first time hearing it.Everyone is desperate to be cool in this flick. Finally, the Donnie Yen character. Okay, a LOT cannot be forgiven. He is dragged into wanting to kill Wick because of threats to his family. Yet, he kills everyone BUT Wick and yet gets to survive. Here's the problem. It telegraphed it when he would incapacitate the guys in the kitchen of the Osaka branch. Instead of violently kill them. That's how you can tell he wasn't going to be a bad dude.Oof. They add an extra assassin who totes along a dog. That dog was getting on my nerves. And I love dogs. This dog seemed to be trained to sick men's privates. For some reason. After the 5th go at this gag, it was dead in the water.This is a subpar entry into the series. Though they kill off Wick in this flick (yeah right) he see some future installment with say...the daughter of the Osaka branch who seemed to have projected a future conflict with Wick in the future.This series will never end as long as simple minded audiences exists. All Sound And Fury Adds Up To Nothing."
55,"After so many unnecessary movies and series that flattered all segments that did everything for the sake of being watched , you really came out for a wonderful series The BOOGEYMAN as JOHN WICK.Being. An ardent fan since the release of the first one , I've been cautious going into each subsequent film. Waiting to be let down and end my love for the franchise .This movie did the exact opposite . Waaaay over the top action , infused with a lot more humour and tongue-in-cheek sequence , this movie deliver . So much so , i was disappointed.....at the last and more disappointed about not coming John Wick 5..."
56,"I saw John Wick: Chapter 4, starring Keanu Reeves-the Matrix movies, Dracula_1992; Donnie Yen-the Ip Man movies, Shanghai Knights; Shamier Anderson-Awake, Wynonna Earp_tv and Bill Skarsgard-the It movies, Atomic Blonde.I love the John Wick movies and they just keep getting better as they go along. The action is off the charts, the stunts are better than ever, and just when you think there is nothing new to see in a fight-or car chase-Baba Yaga will surprise and shock you. Keanu returns for maybe his last ride as John Wick, at least according to how this one wraps things up-but, I'm sure Keanu still has another one or two left in the tank. Bill plays the Marquis, a sort of big shot in the High Table organization that wants Keanu dead. Donnie plays an old friend of Keanu's that Bill forces to hunt Keanu. Shamier is another hired gun that Bill gets to join in on the hunt. Shamier is called the Tracker and has a highly trained dog that tag teams Shamier in fights-on voice commands. All Keanu wants is to get his freedom back and his name cleared. He learns of a loop hole in the High Table rules and focuses all his abilities on reaching that agenda. One of the fight sequences on a flight of stairs is very entertaining and the car chase in Paris is unbelievable-kudos to the stunt people. Make sure you don't leave the theater too soon because there is a scene after the end credits that involves a characters' fate and there is a dedication after that to Lance Reddick-he died March 17 2023-who played the hotel concierge, Charon.It's rated R for violence and language and has a running time of 2 hours & 49 minutes.I loved this movie and would buy it on Blu_Ray."
57,"So.... I thought I loved JW. I certainly love the first one. Imo, the first JW is one of the best action movies of all time. It was a story with heart - it had a reason for being. And I realized about myself, what I love most in a movie are the parts where you a) discover the protagonist's ""powers"" b) learn about a new world and 3) real people doing extraordinary things. That was my JW, the Baba Yaga. A legend brought back to life because someone stole his car and took his dog. Perfection.Fast forward till now and over hours of my life, JW has eroded into some kind of cartoon. The man should be in a full body cast at all times but no, he just bounces around like a rubber ball, seemingly mad at himself at certain points because he keeps getting back up. The premise of JW is that he's an extraordinarily TALENTED man - not Wolverine - yet he is now a superhero. And much of this movie didn't make sense - why wasn't his rage directed at Winston?!? He was the one who betrayed him in the 3rd movie. His reasons for all his actions aren't compelling at all any more....in reality, if he's THIS MAD he should be going after the cancer research centers that didn't save his wife.If all that you ever loved about JW is the shooting, well, this will be your jam. There's plenty. But...it's not good. Not like the OG. Sigh."
58,"After a pretty pathetic JW3, this sequel does deliver. JW3 suffered from boring and repetitive fight scenes: it seemed like a video game where headshot quantity was important. I literally fell asleep around 90 min in. JW4 recovers nicely, and is definitely worth seeing. A much better plot, with great and well-choreographed fight scenes. The spice is back. And great, aggressive cinematography, too. Eye candy, with attractive on location shots from Berlin and Paris. Yes, there is the obligatory empowered female fighter, but her role is limited to killing only 10-12 300 lb mercenaries. And the obligatory white male villain, but good news! He's French! So we can despise him regardless of sex or ethnicity. Of course it's not a JW sequel unless the laws of physics are suspended, but if you buy the premise, you'll buy the gag. Worth the watch."
59,First 15mins were kinda slow but then screenplay took off. One of the best action movies. The stunts were ballistic... a few logical flaws but it's a cult classic for sure. Should have trimmed the running length though. What started with a dog has got a fitting farewell after 4 installments. John and his charisma steals the show. Unexpected performance from Donnie. A benchmark has been set with Cinematography. The aerial shots fight sequence reminded me of GTA 1 and 2. Keanne has done full justice to his role. Worth a watch. Hope the makers would reboot the storyline with a new character in the future.
60,"The culmination of arguably the best action franchise of all time. Keanu Reeves gives an incredible performance as John Wick as always. From the opening scene the film grabs your attention and doesn't let it go. Every fight scene (and there is a lot of them) takes place in the most gorgeous places with stunning almost otherworldly lighting. The cinematography is insanely good and a treat for the eyes. Choosing the action set pieces to take place in Osaka to Berlin to Paris gives the feeling that you as the spectator are being taken on a journey, thereby justifying the almost 3 hour run time. Donnie Yen's character; Cain and The Tracker are instant fan favourites and I'm looking forward to seeing more of them in the future. A fantastic film with a satisfying ending that leaves nothing to be desired. Well done to everyone involved. 10/10."
61,"The greatest action film ever made. Keanu Reeves is freaking Awesome this is by far his best performance yet. Director Chad Stahelski gives us the Best Action movie in the history of Cinema. The action is crisp well directed and it is beautifully choreographed. The villains are the best in the franchise Billy Sarsgard and Donnie Yen are amazing. The rest of the cast is awesome as well. The directing, writing , plot ,ending and the begging is perfect. It never feels too long or short , the runtime is well handled. The side characters like Winston,Killa and Charon once again steal the big screen every time they appear in the movie. This franchise eclipses Tom Cruise and the Mission films. A+ film."
62,"Unrealistic action but still loaded with outstanding and unique fight scenes that were thoroughly enjoyable. Even my wife, who usually watches Lifetime movies and hasn't seen John Wick 1-3, enjoyed it and now wants to see the first three films. Great cast too! Not as much humor as the first three classic films but the pace and story made an almost three hour movie go quickly. We will definitely watch part four several times. Thank you Keanu Reeves for another great movie. Movies like this must be seen in a theater and will help the movie industry recover from several weak years of sub-par movies (other than Top Gun 2)!"
63,"Coming in the 4 installment of the John Wick series with everything that has happened in the previous 3 I was wondering what was going to happen in this one. And boy it was magnificent. Keanu Reeves had already solidified himself as a legend through the Matrix series but with the conclusion of this movie he overcame whatever he did while acting as Neo. The choreography was the best I've ever seen in any action movie and it never felt boring. For a movie almost 3 hours long it never got boring you were always hyped up about what's going to happen next. The camera work was phenomenal following Wick to iconic places such as Japan, Sahara Desert(probably),Paris,Berlin,New York etc. But what I really appreciated about this movie was that despite having less dialogue than action you really had feelings about the other characters than John. Caine's character (Donnie Yen) was tremendous at his job. He made himself a believable blind men without making his character such as Daredevil. When you first saw you him you instantly hated him but with the movie progressing you started to like him. Marquis (Bill Skasgard) gave you the vibe of a hateful villain from the start and keeping that vibe irritating you through the whole movie. The tracker (Shamier Anderson) was a fun character also being more a anti-hero than a villain giving us memories from the first John Wick with his dog. And the comeback of some iconic characters such as Charon,Winston and King. And in the end a very sad but also nice conclusion with the villain ending up dead Caine and his daughter being saved and John finally resting joining his wife in the afterlife and making himself the name of the most notorious person in the underworld. The Babayaga!And movie to be remembered through the years."
64,"First of all, I went to the cinema as soon as it came out and I must say that it should never be watched outside of the cinema. It's an amazing movie and it's definitely worth watching. Its really really good action movie.From a technical perspective, the film is phenomenal, especially the bird's-eye view scene. My mouth was wide open, it was amazing, and I couldn't get enough of the action. Every fight choreography was well thought out, yes, some parts were exaggerated, but it suited the pace very well. The staircase scene is the biggest example of making these long and single-shot action scenes aesthetic, and it's a great achievement.In terms of acting, I think it was very good. Even though Keanu Reeves played emotionless at times, this role suits him very well. Especially there is one name that fits perfectly, Bill Skarsgård, he played amazingly and I loved it. Also, Killa, played by Scott Adkins, was amazing. It was one of the most entertaining scenes I've watched in a long time, even though the fight with John was a bit weird, it was fantastic. I watched it breathlessly. I won't mention everyone individually, but the performances were more than enough from the stunt doubles to the one-scene actors.It improves the action of the first 2 films and develops the lack of subject matter or subject matter presentation in the 3rd film, making a very aesthetic mix. They covered the biggest flaw in this series.Also, another good thing was the harmony of the music to the scenes, every music was perfectly fine, which I think increased the pleasure of the action scenes by a click or two.There is not much to say, it's a satisfying, exciting, and aesthetic film. Although it lacks emotionally at times, it never stands out and uses its time wonderfully. I loved the movie, and I highly recommend watching it in the cinema instead of waiting to watch it at home."
65,"So yeah I loved it, but don't worry my review won't be only fan based or with any kind of spoilers, but as we've all waited 4 years it's really worth watching in Cinemas because Movie is really great and Action is too realistic and also Acting from Keenu Reeves, and as i said i don't wanna write a whole story but still i had to fill remaining 256 required characters so yeah whoever reading my review I insist or recommend this movie John wick Chapter 4, You go must watch it I'm giving it 10/10 Because i really loved it, I was already excited but this made me more happy that was more than expected like from previous movies of Franchise it's also one of the Best Action movies!"
66,"It amazes me how each subsequent John Wick film not only expands the world building, which keeps it interesting from a story perspective, but also manages to up the action to unbelievable levels. This entry is no exception. And they've not only upped the action of the previous entries in this franchise, but they've singlehandedly outclassed every other movie in the genre at the same time.Just the three action sets pieces toward the final 90 minutes of the film blow every other film in the genre out of the water. I'm still in awe and headed back to IMAX for a second viewing.For action fans, believe the hype... it doesn't get any better than this."
67,"I wasn't interested in watching this movie because I knew what I'm going to get, but my friend told me that we've watched Chapter 3, and we've come this far, so we might as well just watch chapter 4. The result was just as I expected. It was just the same as Bullet train and other movies produced from the same production. Just another typical villains and typical fight scenes over and over. This John Wick production team or ""franchise"" has transitioned into a new Fast and Furious franchise making the same movies again and again by replacing cars and gimmicks. If they pivot and make some turns to adapt new ingredients that we've tasted from the first John Wick movie, then it would be still enjoyable, but it's too late to stop this ""cliche train"" starting from John Wick chapter 3, Nobody, Bullet Train, Violent night, and this John Wick: Chapter 4. I don't think this franchise will die any time soon. They are probably working another movies in John Wick universe right now."
68,"I do not have the words to explain how much fun I had while watching this movie! The cinematography is stunning to say the least, and the action is everything you could possibly want! Every character in this movie was brilliant and executed with the upmost, talent and charisma! I cannot wait to watch chapter 4 again and again and again! I truly believe that this franchise is by far the best action franchise ever created! Thank you, Chad and Keanu for creating a masterpiece. Chapter 4 nailed it, and I could not be any more proud of the production team for creating this world for all of us to live in and enjoy."
69,"I had some doubt on how they're gonna do better than chapter 3. Well they've done better than previous movies. Pure two and half hours of action entertainment. Cinematography was top level, hats off to Keanu reeves and other people associated with stunt. Something like this will never be ever filmed. This film will set example for current and upcoming generation like Terminator 2 and Die hard was to us. I've seen so many classic and critically acclaimed films from all over world. This is what we needed. Totally worth my time and scene points. Must be watched on screen as much big as possible.."
70,"I don't even know where to start. I love John Wick 1-3 and saw all three of them 2-3 times in theatres, with more repeat viewings at home.John Wick 4 is an awful mockery of everything that made the franchise good. It is far too long and overindulgent - some filler shots go on for 20-30 seconds when they could have been 5 - and the movie lacks the kinetic realism of all the previous entries. The acting is bad, the dialogue is bad and even unnecessary at times, and plot is completely nonsensical.WHY does he drive in circles around the Arc de Triomphe when he could just drive Montmarte? He later drives the motorcycle there...How is the Eiffel Tower the closest the Bowery King can get him to Montmarte? That's where he was right before that!!Ugh, and don't get me started on the Marquis nonsense. It's the worst kind of one-up-manship - illogical, unfounded, and a pure plot contrivance.Hard pass."
71,This movie met every one of my expectations! It delivered with the great action of a typical John Wick action but also had other compelling story lines and the one liners you would expect. The actions scenes are top notch but they always have an undertone of rules and respect that makes it really enjoyable. The lighting was great and even with endless action they still made you really enjoy the characters. The storyline was simple and straight forward but keeps you engaged through out the whole movie. The ending was unpredictable which i really appreciated and I felt keeps me excited. It was not meant to be repetitive and ruin the franchise. It told a story and stuck to the code of the movie. This movie knows exactly what it is and did it 10 out of 10. Amazing.
